Device,VZ Min,VZ @ IZ,VZ Max,IZ,ZZ @ IZ, ZZ @ IZK,IZK,IZM,PD
1N4728A,3.135,3.3,3.465,0.076,10,400,0.001,1.38,1
1N4729A,3.42,3.6,3.78,0.069,10,400,0.001,1260,1
1N4730A,3.705,3.9,4.095,0.064,9,400,0.001,1190,1
1N4731A,4.085,4.3,4.515,0.058,9,400,0.001,1070,1
1N4732A,4.465,4.7,4.935,0.053,8,500,0.001,970,1
1N4733A,4.845,5.1,5.355,0.049,7,550,0.001,890,1
1N4734A,5.32,5.6,5.88,0.045,5,600,0.001,810,1
1N4735A,5.89,6.2,6.51,0.041,2,700,0.001,730,1
1N4736A,6.46,6.8,7.14,0.037,3.5,700,0.001,660,1
1N4737A,7.125,7.5,7.875,0.034,4,700,0.0005,605,1
1N4738A,7.79,8.2,8.61,0.031,4.5,700,0.0005,550,1
1N4739A,8.645,9.1,9.555,0.028,5,700,0.0005,500,1
1N4740A,9.5,10,10.5,0.025,7,700,0.00025,454,1
1N4741A,10.45,11,11.55,0.023,8,700,0.00025,414,1
1N4742A,11.4,12,12.6,0.021,9,700,0.00025,380,1
1N4743A,,,,,,,,,1
1N4744A,,,,,,,,,1
1N4745A,,,,,,,,,1
1N4746A,,,,,,,,,1
1N4747A,,,,,,,,,1
1N4748A,,,,,,,,,1
1N4749A,,,,,,,,,1
1N4750A,,,,,,,,,1
1N4751A,,,,,,,,,1
1N4752A,,,,,,,,,1
1N4753A,,,,,,,,,1
1N4754A,,,,,,,,,1
1N4755A,,,,,,,,,1
1N4756A,,,,,,,,,1
1N4757A,,,,,,,,,1
